IDSIM	TGBD	TGKT
16	11:06:00	19:43:00
18	13:42:00	22:18:00
17	12:22:00	20:58:00
9	01:39:00	10:16:00
12	06:20:00	14:57:00
8	00:19:00	08:56:00
18	13:37:00	22:14:00
13	07:36:00	16:12:00
12	06:16:00	14:52:00
16	10:57:00	19:33:00
8	00:14:00	08:51:00
11	04:55:00	13:32:00
18	13:32:00	22:09:00
19	02:50:00	22:54:00
13	07:31:00	16:08:00
9	01:30:00	10:06:00
12	06:11:00	14:47:00
18	13:27:00	22:04:00
17	12:07:00	20:44:00
12	06:06:00	14:43:00
11	04:46:00	13:23:00
18	13:23:00	21:59:00
17	12:02:00	20:39:00
8	01:20:00	09:57:00
7	00:00:00	08:37:00
18	13:18:00	21:55:00
18	02:36:00	22:40:00
11	04:36:00	13:13:00
18	02:31:00	22:35:00
13	07:12:00	15:49:00
8	01:11:00	09:47:00
19	03:46:00	23:51:00
17	11:48:00	20:25:00
8	01:06:00	09:43:00
12	05:47:00	14:24:00
16	10:28:00	19:05:00
19	03:41:00	23:46:00
13	07:02:00	15:39:00
8	01:01:00	09:38:00
12	05:42:00	14:19:00
13	06:58:00	15:34:00
17	11:39:00	20:15:00
19	03:32:00	23:36:00
18	12:54:00	21:31:00
18	02:12:00	22:16:00
13	06:53:00	15:30:00
8	00:52:00	09:28:00
15	10:14:00	18:51:00
19	03:27:00	23:32:00
11	04:13:00	12:49:00
17	12:49:00	21:26:00
18	02:07:00	22:11:00
16	11:29:00	20:06:00
15	10:09:00	18:46:00
17	12:45:00	21:21:00
18	02:02:00	22:07:00
16	11:24:00	20:01:00
12	05:23:00	14:00:00
18	01:58:00	22:02:00
12	05:19:00	13:55:00
15	10:00:00	18:36:00
17	12:35:00	21:12:00
18	01:53:00	21:57:00
13	06:34:00	15:11:00
11	05:14:00	13:50:00
19	03:08:00	23:13:00
10	03:54:00	12:30:00
12	06:29:00	15:06:00
8	00:28:00	09:05:00
15	09:50:00	18:27:00
10	03:49:00	12:26:00
12	06:24:00	15:01:00
11	05:04:00	13:41:00
15	09:45:00	18:22:00
19	02:59:00	23:03:00
17	12:21:00	20:57:00
8	00:18:00	08:55:00
11	04:59:00	13:36:00
10	03:39:00	12:16:00
17	12:16:00	20:53:00
18	01:34:00	21:38:00
16	10:56:00	19:33:00
11	04:55:00	13:31:00
19	02:49:00	22:54:00
18	01:29:00	21:33:00
17	12:07:00	20:43:00
12	06:05:00	14:42:00
16	10:46:00	19:23:00
11	04:45:00	13:22:00
19	02:40:00	22:44:00
17	12:02:00	20:38:00
12	06:01:00	14:37:00
11	04:40:00	13:17:00
15	09:22:00	17:58:00
10	03:20:00	11:57:00
17	11:57:00	20:34:00
17	01:15:00	21:19:00
16	10:37:00	19:14:00
11	04:36:00	13:12:00
17	01:10:00	21:14:00
